Price,Close,High,Low,Open,Volume,RSI,EMA50,MACD,Signal_Line,Upper_BB,Lower_BB,%K,%D,Signal,Buy_Signal,Sell_Signal,Position,Daily_Return,Strategy_Return,Cumulative_Return
Ticker,VOD,VOD,VOD,VOD,VOD,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,
2023-01-03,8.636905670166016,8.65357961541597,8.545201356463679,8.578548451906117,9242100,,8.636905670166016,0.0,0.0,,,,,Hold,False,False,,,,
2023-01-04,8.83698844909668,8.870335542317303,8.736946374377395,8.761957290585924,9673800,,8.644752053653493,0.015961019401876442,0.0031922038803752885,,,,,Hold,False,False,,0.023166025723981187,,
2023-01-05,8.820313453674316,8.861997513996172,8.753619275182276,8.786966364428295,5620400,,8.651636814438623,0.026954000558806257,0.007944563216061483,,,,,Hold,False,False,,-0.0018869545341623217,,
2023-01-06,8.96203899383545,9.003723055143826,8.820313662421372,8.828650633694515,6186500,,8.663809448924773,0.04656530808140502,0.015668712189130192,,,,,Hold,False,False,,0.016068084303975994,,
2023-01-09,8.953701972961426,9.078754156193805,8.937028825564845,9.028733123889387,10003000,,8.675177783200722,0.06073457233187973,0.0246818842176801,,,,,Hold,False,False,,-0.0009302593840261331,,
2023-01-10,8.953701972961426,8.962038944188386,8.861997674636884,8.912017911883966,11980300,,8.68610030044624,0.07114371586336787,0.03397425054681766,,,,,Hold,False,False,,0.0,,
2023-01-11,8.895344734191895,8.97871285606288,8.836987525916603,8.96203891366575,9938700,,8.694305964514697,0.07383299484387784,0.0419459994062297,,,,,Hold,False,False,,-0.006517665982825882,,
2023-01-12,9.403888702392578,9.420562645943898,9.253827185717634,9.295510454481159,11132000,,8.722132738549124,0.11566618814839202,0.05669003715466217,,,,,Hold,False,False,,0.05716967508251192,,
2023-01-13,9.362204551696777,9.387215466791675,9.278837219885933,9.295510368225148,6586000,,8.74723359396668,0.14379811745513038,0.07411165321475582,,,,,Hold,False,False,,-0.004432650365714719,,
2023-01-17,9.520604133605957,9.595635291139144,9.40388891132573,9.503930189684178,11497200,,8.777561850423123,0.1768359419080916,0.09465651095342298,,,,,Hold,False,False,,0.01691904732849192,,
2023-01-18,9.31218433380127,9.49559373631378,9.303847362083115,9.487256764595625,7018800,,8.79852743800658,0.18407897200040324,0.11254100316281904,,,,,Hold,False,False,,-0.021891446895581423,,
2023-01-19,9.345531463623047,9.370541583821844,9.245490187770478,9.30384739992013,5469300,,8.81997857626605,0.19031611451434394,0.12809602543312404,,,,,Hold,False,False,,0.0035810212326590207,,
2023-01-20,9.545613288879395,9.553950259996988,9.387214812931756,9.420561902344803,5325500,,8.848434839505789,0.2089948633475469,0.14427579301600862,,,,,Hold,False,False,,0.02140935762028673,,
2023-01-23,9.470582962036133,9.503930054347418,9.428899692940073,9.445572841567019,5028600,75.25247448101183,8.872832805095214,0.2152621776613053,0.15847306994506796,,,88.09517429178952,,Hold,False,False,,-0.007860189237989701,,
2023-01-24,9.437235832214355,9.487256868011158,9.395552563283976,9.403888740035617,4268800,73.76232773730274,8.894966257139103,0.21505916652349555,0.1697902892607535,,,81.55333604139923,,Hold,False,False,,-0.0035211274697083406,,
2023-01-25,9.603972434997559,9.612308612050247,9.412226051752153,9.412226051752153,5560800,73.23228967645731,8.92277042097669,0.225750221078874,0.18098227562437763,,,99.02919755786247,89.55923596368375,Hold,False,False,,0.01766794914820724,,
2023-01-26,9.553950309753418,9.595634370501145,9.495593101740997,9.587297399340134,4696900,71.78214737948485,8.94752257347774,0.2275633823654193,0.19029849697258597,,,92.63148050070575,91.07133803332249,Hold,False,False,,-0.0052084828004979045,,
2023-01-27,9.67900276184082,9.695676705997341,9.495594146463596,9.5122672955627,5144300,71.49997740730848,8.976208071060604,0.23636632960982418,0.19951206350003364,,,98.05820958930062,96.57296254928961,Hold,False,False,,0.013089083366881082,,
2023-01-30,9.687338829040527,9.712348947881736,9.62898162005859,9.637318591358108,7799000,71.99997483344316,9.0040955517657,0.24123457763080225,0.20785656632618738,,,97.14288084742613,95.94419031247749,Hold,False,False,,0.0008612526935700693,,
2023-01-31,9.653992652893066,9.662329624981888,9.570624522119688,9.612308587506377,6981700,70.58825178683779,9.029581712594224,0.23963952624367124,0.21421315830968415,9.953752187961697,8.609757562404514,93.33346278184575,96.17818440619084,Hold,False,False,,-0.003442243193507055,,
2023-02-01,9.520604133605957,9.562288198352995,9.33719472575343,9.378878790500469,7084200,67.605642123444,9.048837493810371,0.22501822773519642,0.2163741721947866,9.9324273852696,8.719452211440606,58.928731629650855,83.13502508630758,Hold,False,False,,-0.013816927781391652,,
2023-02-02,9.687338829040527,9.75403300932198,9.612307677459556,9.62898162005859,6755500,59.88370430326001,9.073876761858612,0.22429925756823366,0.21795918926947605,9.949302475836978,8.787612158867612,86.88523808516727,79.7158108322213,Hold,False,False,,0.017513037313044766,,
2023-02-03,9.145448684692383,9.437235533248366,9.120437770057617,9.437235533248366,12870800,44.3965612881117,9.076683503930525,0.1779521411353695,0.20995777964265475,9.917145586763677,8.852282571042718,3.9474593691400064,49.92047636131938,Hold,False,False,,-0.055937977798781624,,
2023-02-06,9.13711166381836,9.178795726260562,9.053743538933954,9.170458754760649,9324400,39.252314467109954,9.079053235690832,0.1389472916537411,0.19575568204487204,9.901853378605171,8.885082046199518,11.90480914102728,34.24583553177819,Hold,False,False,,-0.0009116032642529914,,
2023-02-07,9.228816032409668,9.262163123595007,9.087090696107628,9.12043778729297,7403800,47.49998284094471,9.084926286542553,0.11411993993434955,0.17942853362276756,9.879083745837384,8.935363084912126,25.00001797523921,13.617428828468832,Hold,False,False,,0.010036472352028314,,
2023-02-08,9.328857421875,9.362204513474673,9.27050021033992,9.328857421875,5334300,49.51921649117133,9.094492213418334,0.10134830865930411,0.16381248863007486,9.849256701957128,9.002705673683742,39.28573748061744,25.396854865627976,Hold,False,False,,0.0108401109214884,,
2023-02-09,9.212142944335938,9.395552344578372,9.178795852933439,9.387215372963404,4635100,39.89901003255598,9.099105967571965,0.080876521746573,0.1472252952533745,9.80022515060766,9.083417046047613,22.619132815779075,28.968296090545238,Hold,False,False,,-0.012511122451650092,,
2023-02-10,9.287175178527832,9.287175178527832,9.212144015384379,9.245491110663973,3816100,44.444489380177686,9.106481230746706,0.069901180063912,0.131760472215482,9.800734607421967,9.071236236846831,33.33359267340334,31.74615432326662,Hold,False,False,,0.008144927260169021,,
2023-02-13,9.737360000610352,9.787380239005932,9.220479698531015,9.237152846310424,22420900,57.25806786401734,9.131221574662927,0.0964178505349178,0.12469194787936917,9.84144184999246,9.068044539167698,93.18187893399103,49.71153480772448,Hold,False,False,,0.04847381614200175,,
2023-02-14,10.045821189880371,10.045821189880371,9.820727722913855,9.89575887856936,13295800,59.99999136651642,9.167088226240082,0.14070083138092215,0.1278937245796798,9.949268069499423,9.012740025288176,100.0,75.50515720246479,Hold,False,False,,0.031678112881796006,,
2023-02-15,10.345945358276367,10.445986637426953,9.86241211151983,9.870749083546732,17510100,66.10172974930714,9.213317917692486,0.19773357531885694,0.14186169472751523,10.132293449723903,8.933090747511205,92.81438139223864,95.33208677540989,Hold,False,False,,0.029875523635471968,,
2023-02-16,10.170872688293457,10.304261057442371,10.145862567842384,10.220893724252997,7804500,59.80067366888068,9.250869085167032,0.22619806398591003,0.1587289685791942,10.230250881102688,8.917667438599462,80.23951783770471,91.01796640998111,Hold,False,False,,-0.01692186300238463,,
2023-02-17,10.320935249328613,10.354282342417823,10.229230942097635,10.25424106315019,5039600,61.949714267625076,9.292832464153761,0.25789234842032727,0.17856164454742082,10.348721252399741,8.876729263347329,91.01799188419758,88.02396370471365,Hold,False,False,,0.014754148010118762,,
2023-02-21,10.279250144958496,10.3042602634825,10.22922990791049,10.270913173764718,4116700,61.755464534762375,9.33151551045983,0.27645980113662283,0.19814127586526123,10.443146205996694,8.863171028042611,88.02389520559036,86.42713497583088,Hold,False,False,,-0.004038888275442742,,
2023-02-22,10.004137992858887,10.204220561902275,9.945780775652262,10.154200317170154,12509300,58.630966769325894,9.357892862710774,0.265910143112821,0.2116950493147732,10.47951135280643,8.883496097297328,68.2635421180155,82.43514306926782,Hold,False,False,,-0.02676383473696664,,
2023-02-23,9.904095649719238,10.012473895131224,9.82906449558345,9.987462980381048,15264500,53.96342335316854,9.37931257984836,0.24663384072847094,0.21868280759751277,10.49964967083852,8.893370100737409,61.07784708760472,72.45509480373686,Hold,False,False,,-0.010000096281264859,,
