Date,Close,High,Low,Open,Volume,RSI,EMA,Ticker
2024-10-21,251.4616241455078,255.6303006466631,251.06459651797726,254.74695014491422,159800,,,NDSN
2024-10-22,249.2383270263672,251.22341982570268,247.5311460073342,251.22341982570268,199200,,,NDSN
2024-10-23,248.1068115234375,250.0422738707039,247.10434516538038,249.2383137529975,405600,,,NDSN
2024-10-24,247.0348663330078,247.8983768316692,245.5261916044377,247.8983768316692,218700,,,NDSN
2024-10-25,246.25076293945312,249.72467526950152,246.00262634444965,247.97778394784143,135300,,,NDSN
2024-10-28,248.5038299560547,250.47900268573179,247.58076910104072,247.58076910104072,194200,,,NDSN
2024-10-29,247.2830047607422,248.42442704088924,244.27559043786553,246.79665158182382,234000,,,NDSN
2024-10-30,249.01004028320312,250.85617715300575,247.27308412083715,247.283004132402,176300,,,NDSN
2024-10-31,246.0423126220703,249.16882754782245,245.92321190720136,248.42441778978093,253700,,,NDSN
2024-11-01,247.173828125,249.71474447905362,246.07210101811904,246.34009278602417,191600,,,NDSN
2024-11-04,245.71478271484375,249.45668685839394,245.32769022723897,247.45173890320856,382000,,,NDSN
2024-11-05,251.4914093017578,251.60059001052826,243.42200229959786,245.2582191802676,143200,,,NDSN
2024-11-06,262.3895568847656,264.7220470283021,260.29529847915416,260.4938198790729,270600,,,NDSN
2024-11-07,258.6278381347656,262.2804018348727,257.77423242902273,262.2804018348727,136100,64.58146818931185,,NDSN
2024-11-08,259.4913024902344,262.28035512053066,257.3672389066759,258.16129410665,165300,65.70717295673361,,NDSN
2024-11-11,259.2630310058594,262.9652399015206,259.18364062324105,260.3151277436945,123900,65.11794066369424,,NDSN
2024-11-12,255.68984985351562,259.9379772962199,255.4814236019238,258.57816335744485,313200,56.56681070569244,,NDSN
2024-11-13,257.1092224121094,257.2481631542652,253.12910174080383,255.36233109281306,269800,58.876930121548895,,NDSN
2024-11-14,254.64768981933594,257.5757136757744,254.06209110607043,256.0074734760843,214700,53.55681176122699,,NDSN
2024-11-15,252.88096618652344,257.33748975225427,252.1762667359992,255.12413070438382,290500,50.060433177069896,253.382644058438,NDSN
2024-11-18,251.56088256835938,253.79411197295232,250.98520383776867,251.78916400021313,228000,47.561925595548196,253.2091429641448,NDSN
2024-11-19,247.9976348876953,250.56832633328742,247.3226954853646,248.21599629917975,176600,41.535803370053976,252.71280886162583,NDSN
